LOCATIONSTATE,medicaid_enrollment,total_mh_facilities,medicaid_facilities,medicaid_acceptance_pct,mh_facilities_per_100k_medicaid,medicaid_accepting_mh_facilities_per_100k_medicaid
WY,58080.0,51,51,100.0,87.81,87.81
UT,306547.0,360,236,65.6,117.44,76.99
ME,317702.0,172,170,98.8,54.14,53.51
MT,196958.0,97,90,92.8,49.25,45.7
NE,309152.0,145,135,93.1,46.9,43.67
AK,232106.0,101,95,94.1,43.51,40.93
VT,152450.0,66,59,89.4,43.29,38.7
NH,168870.0,74,64,86.5,43.82,37.9
ID,299426.0,123,113,91.9,41.08,37.74
ND,103397.0,45,38,84.4,43.52,36.75
KS,335902.0,135,123,91.1,40.19,36.62
SD,126952.0,47,46,97.9,37.02,36.23
MD,1291976.0,442,416,94.1,34.21,32.2
MN,1164706.0,409,370,90.5,35.12,31.77
KY,1252745.0,377,357,94.7,30.09,28.5
WV,471636.0,139,133,95.7,29.47,28.2
OH,2596879.0,759,712,93.8,29.23,27.42
AR,741143.0,215,202,94.0,29.01,27.26
IA,596144.0,169,160,94.7,28.35,26.84
WI,1117012.0,319,296,92.8,28.56,26.5
AZ,1778734.0,528,466,88.3,29.68,26.2
MS,520938.0,150,133,88.7,28.79,25.53
CT,905379.0,244,224,91.8,26.95,24.74
IN,1642176.0,411,381,92.7,25.03,23.2
MO,1143560.0,281,240,85.4,24.57,20.99
TN,1274882.0,314,259,82.5,24.63,20.32
MA,1469251.0,331,293,88.5,22.53,19.94
NJ,1543150.0,361,303,83.9,23.39,19.64
WA,1781871.0,387,346,89.4,21.72,19.42
DE,236840.0,50,44,88.0,21.11,18.58
OK,904950.0,169,163,96.4,18.68,18.01
VA,1609622.0,321,285,88.8,19.94,17.71
MI,2222494.0,427,392,91.8,19.21,17.64
CO,1067531.0,225,185,82.2,21.08,17.33
NM,686825.0,122,118,96.7,17.76,17.18
OR,1128359.0,214,191,89.3,18.97,16.93
PA,2800122.0,529,443,83.7,18.89,15.82
NV,713936.0,127,112,88.2,17.79,15.69
AL,772748.0,128,120,93.8,16.56,15.53
NC,2497522.0,407,360,88.5,16.3,14.41
IL,2940111.0,512,420,82.0,17.41,14.29
NY,5974991.0,805,771,95.8,13.47,12.9
FL,3568648.0,661,430,65.1,18.52,12.05
LA,1385970.0,178,155,87.1,12.84,11.18
GA,1726551.0,250,183,73.2,14.48,10.6
SC,958795.0,95,92,96.8,9.91,9.6
TX,3858767.0,452,330,73.0,11.71,8.55
HI,376437.0,39,31,79.5,10.36,8.24
DC,242560.0,19,19,100.0,7.83,7.83
CA,12254163.0,1226,631,51.5,10.0,5.15
RI,,55,54,98.2,,
