state,capability,n_yes,n_total,percentage,ci_low,ci_high
AK,SETTINGOP,72,95,75.8,66.3,83.3
AK,SETTINGDTPH,5,95,5.3,2.3,11.7
AK,SETTINGRC,21,95,22.1,14.9,31.4
AK,SETTINGIP,4,95,4.2,1.6,10.3
AK,MHSUICIDE,68,95,71.6,61.8,79.7
AK,SMISEDSUD_MH,80,95,84.2,75.6,90.2
AK,PRIMARYCARE,32,94,34.0,25.3,44.1
AL,SETTINGOP,84,120,70.0,61.3,77.5
AL,SETTINGDTPH,25,120,20.8,14.5,28.9
AL,SETTINGRC,24,120,20.0,13.8,28.0
AL,SETTINGIP,27,120,22.5,15.9,30.8
AL,MHSUICIDE,87,119,73.1,64.5,80.3
AL,SMISEDSUD_MH,99,120,82.5,74.7,88.3
AL,PRIMARYCARE,23,119,19.3,13.2,27.3
AR,SETTINGOP,176,202,87.1,81.8,91.1
AR,SETTINGDTPH,47,202,23.3,18.0,29.6
AR,SETTINGRC,33,202,16.3,11.9,22.1
AR,SETTINGIP,25,202,12.4,8.5,17.6
AR,MHSUICIDE,156,202,77.2,71.0,82.5
AR,SMISEDSUD_MH,171,202,84.7,79.0,89.0
AR,PRIMARYCARE,29,202,14.4,10.2,19.9
AZ,SETTINGOP,367,466,78.8,74.8,82.2
AZ,SETTINGDTPH,61,466,13.1,10.3,16.5
AZ,SETTINGRC,106,466,22.7,19.2,26.8
AZ,SETTINGIP,35,466,7.5,5.4,10.3
AZ,MHSUICIDE,330,466,70.8,66.5,74.8
AZ,SMISEDSUD_MH,408,466,87.6,84.2,90.2
AZ,PRIMARYCARE,186,466,39.9,35.6,44.4
CA,SETTINGOP,533,631,84.5,81.4,87.1
CA,SETTINGDTPH,54,631,8.6,6.6,11.0
CA,SETTINGRC,92,631,14.6,12.0,17.5
CA,SETTINGIP,61,631,9.7,7.6,12.2
CA,MHSUICIDE,458,630,72.7,69.1,76.0
CA,SMISEDSUD_MH,516,631,81.8,78.6,84.6
CA,PRIMARYCARE,156,629,24.8,21.6,28.3
CO,SETTINGOP,167,185,90.3,85.1,93.8
CO,SETTINGDTPH,23,185,12.4,8.4,18.0
CO,SETTINGRC,20,185,10.8,7.1,16.1
CO,SETTINGIP,11,185,5.9,3.4,10.3
CO,MHSUICIDE,152,182,83.5,77.4,88.2
CO,SMISEDSUD_MH,157,185,84.9,79.0,89.3
CO,PRIMARYCARE,40,181,22.1,16.7,28.7
CT,SETTINGOP,191,224,85.3,80.0,89.3
CT,SETTINGDTPH,33,224,14.7,10.7,20.0
CT,SETTINGRC,33,224,14.7,10.7,20.0
CT,SETTINGIP,18,224,8.0,5.1,12.3
CT,MHSUICIDE,151,224,67.4,61.0,73.2
CT,SMISEDSUD_MH,168,224,75.0,68.9,80.2
CT,PRIMARYCARE,60,222,27.0,21.6,33.2
DC,SETTINGOP,19,19,100.0,83.2,100.0
DC,SETTINGDTPH,2,19,10.5,2.9,31.4
DC,SETTINGRC,0,19,0.0,0.0,16.8
DC,SETTINGIP,1,19,5.3,0.9,24.6
DC,MHSUICIDE,11,19,57.9,36.3,76.9
DC,SMISEDSUD_MH,18,19,94.7,75.4,99.1
DC,PRIMARYCARE,8,19,42.1,23.1,63.7
DE,SETTINGOP,40,44,90.9,78.8,96.4
DE,SETTINGDTPH,2,44,4.5,1.3,15.1
DE,SETTINGRC,2,44,4.5,1.3,15.1
DE,SETTINGIP,3,44,6.8,2.3,18.2
DE,MHSUICIDE,36,44,81.8,68.0,90.5
DE,SMISEDSUD_MH,30,44,68.2,53.4,80.0
DE,PRIMARYCARE,21,44,47.7,33.8,62.1
FL,SETTINGOP,351,430,81.6,77.7,85.0
FL,SETTINGDTPH,54,430,12.6,9.8,16.0
FL,SETTINGRC,63,430,14.7,11.6,18.3
FL,SETTINGIP,63,430,14.7,11.6,18.3
FL,MHSUICIDE,314,428,73.4,69.0,77.3
FL,SMISEDSUD_MH,366,430,85.1,81.4,88.2
FL,PRIMARYCARE,129,427,30.2,26.0,34.7
GA,SETTINGOP,164,183,89.6,84.4,93.3
GA,SETTINGDTPH,26,183,14.2,9.9,20.0
GA,SETTINGRC,22,183,12.0,8.1,17.5
GA,SETTINGIP,24,183,13.1,9.0,18.8
GA,MHSUICIDE,144,182,79.1,72.6,84.4
GA,SMISEDSUD_MH,172,183,94.0,89.6,96.6
GA,PRIMARYCARE,51,182,28.0,22.0,34.9
HI,SETTINGOP,24,31,77.4,60.2,88.6
HI,SETTINGDTPH,5,31,16.1,7.1,32.6
HI,SETTINGRC,6,31,19.4,9.2,36.3
HI,SETTINGIP,4,31,12.9,5.1,28.9
HI,MHSUICIDE,18,31,58.1,40.8,73.6
HI,SMISEDSUD_MH,25,31,80.6,63.7,90.8
HI,PRIMARYCARE,8,30,26.7,14.2,44.4
IA,SETTINGOP,145,160,90.6,85.1,94.2
IA,SETTINGDTPH,7,160,4.4,2.1,8.8
IA,SETTINGRC,19,160,11.9,7.7,17.8
IA,SETTINGIP,18,160,11.2,7.2,17.1
IA,MHSUICIDE,114,158,72.2,64.7,78.6
IA,SMISEDSUD_MH,118,159,74.2,66.9,80.4
IA,PRIMARYCARE,44,158,27.8,21.4,35.3
ID,SETTINGOP,104,113,92.0,85.6,95.8
ID,SETTINGDTPH,9,113,8.0,4.2,14.4
ID,SETTINGRC,5,113,4.4,1.9,9.9
ID,SETTINGIP,8,113,7.1,3.6,13.4
ID,MHSUICIDE,74,112,66.1,56.9,74.2
ID,SMISEDSUD_MH,98,113,86.7,79.2,91.8
ID,PRIMARYCARE,22,112,19.6,13.3,28.0
IL,SETTINGOP,358,420,85.2,81.5,88.3
IL,SETTINGDTPH,46,420,11.0,8.3,14.3
IL,SETTINGRC,61,420,14.5,11.5,18.2
IL,SETTINGIP,39,420,9.3,6.9,12.4
IL,MHSUICIDE,301,420,71.7,67.2,75.8
IL,SMISEDSUD_MH,319,420,76.0,71.6,79.8
IL,PRIMARYCARE,152,420,36.2,31.7,40.9
IN,SETTINGOP,318,381,83.5,79.4,86.9
IN,SETTINGDTPH,27,381,7.1,4.9,10.1
IN,SETTINGRC,64,381,16.8,13.4,20.9
IN,SETTINGIP,50,381,13.1,10.1,16.9
IN,MHSUICIDE,312,381,81.9,77.7,85.4
IN,SMISEDSUD_MH,343,381,90.0,86.6,92.6
IN,PRIMARYCARE,134,381,35.2,30.5,40.1
KS,SETTINGOP,113,123,91.9,85.7,95.5
KS,SETTINGDTPH,1,123,0.8,0.1,4.5
KS,SETTINGRC,18,123,14.6,9.5,21.9
KS,SETTINGIP,7,123,5.7,2.8,11.3
KS,MHSUICIDE,98,123,79.7,71.7,85.8
KS,SMISEDSUD_MH,105,123,85.4,78.1,90.5
KS,PRIMARYCARE,22,123,17.9,12.1,25.6
KY,SETTINGOP,308,357,86.3,82.3,89.5
KY,SETTINGDTPH,35,357,9.8,7.1,13.3
KY,SETTINGRC,54,357,15.1,11.8,19.2
KY,SETTINGIP,26,357,7.3,5.0,10.5
KY,MHSUICIDE,283,357,79.3,74.8,83.2
KY,SMISEDSUD_MH,327,357,91.6,88.3,94.1
KY,PRIMARYCARE,82,357,23.0,18.9,27.6
LA,SETTINGOP,122,155,78.7,71.6,84.4
LA,SETTINGDTPH,29,155,18.7,13.4,25.6
LA,SETTINGRC,13,155,8.4,5.0,13.8
LA,SETTINGIP,40,155,25.8,19.6,33.2
LA,MHSUICIDE,130,155,83.9,77.3,88.8
LA,SMISEDSUD_MH,139,155,89.7,83.9,93.5
LA,PRIMARYCARE,68,155,43.9,36.3,51.7
MA,SETTINGOP,228,293,77.8,72.7,82.2
MA,SETTINGDTPH,31,293,10.6,7.6,14.6
MA,SETTINGRC,49,293,16.7,12.9,21.4
MA,SETTINGIP,23,293,7.8,5.3,11.5
MA,MHSUICIDE,176,288,61.1,55.4,66.6
MA,SMISEDSUD_MH,257,293,87.7,83.5,91.0
MA,PRIMARYCARE,62,287,21.6,17.2,26.7
MD,SETTINGOP,364,416,87.5,84.0,90.3
MD,SETTINGDTPH,74,416,17.8,14.4,21.8
MD,SETTINGRC,69,416,16.6,13.3,20.5
MD,SETTINGIP,22,416,5.3,3.5,7.9
MD,MHSUICIDE,209,416,50.2,45.5,55.0
MD,SMISEDSUD_MH,339,416,81.5,77.5,84.9
MD,PRIMARYCARE,100,415,24.1,20.2,28.4
ME,SETTINGOP,116,170,68.2,60.9,74.8
ME,SETTINGDTPH,5,170,2.9,1.3,6.7
ME,SETTINGRC,54,170,31.8,25.2,39.1
ME,SETTINGIP,7,170,4.1,2.0,8.3
ME,MHSUICIDE,70,170,41.2,34.1,48.7
ME,SMISEDSUD_MH,135,170,79.4,72.7,84.8
ME,PRIMARYCARE,49,170,28.8,22.5,36.0
MI,SETTINGOP,361,392,92.1,89.0,94.4
MI,SETTINGDTPH,18,392,4.6,2.9,7.1
MI,SETTINGRC,22,392,5.6,3.7,8.4
MI,SETTINGIP,32,392,8.2,5.8,11.3
MI,MHSUICIDE,269,392,68.6,63.9,73.0
MI,SMISEDSUD_MH,309,392,78.8,74.5,82.6
MI,PRIMARYCARE,122,391,31.2,26.8,36.0
MN,SETTINGOP,276,370,74.6,69.9,78.8
MN,SETTINGDTPH,58,370,15.7,12.3,19.7
MN,SETTINGRC,88,370,23.8,19.7,28.4
MN,SETTINGIP,24,370,6.5,4.4,9.5
MN,MHSUICIDE,231,370,62.4,57.4,67.2
MN,SMISEDSUD_MH,287,370,77.6,73.0,81.5
MN,PRIMARYCARE,65,369,17.6,14.1,21.8
MO,SETTINGOP,209,240,87.1,82.2,90.7
MO,SETTINGDTPH,18,240,7.5,4.8,11.5
MO,SETTINGRC,34,240,14.2,10.3,19.1
MO,SETTINGIP,29,240,12.1,8.5,16.8
MO,MHSUICIDE,210,240,87.5,82.7,91.1
MO,SMISEDSUD_MH,208,240,86.7,81.8,90.4
MO,PRIMARYCARE,71,240,29.6,24.2,35.6
MS,SETTINGOP,116,133,87.2,80.5,91.9
MS,SETTINGDTPH,57,133,42.9,34.8,51.4
MS,SETTINGRC,18,133,13.5,8.7,20.4
MS,SETTINGIP,20,133,15.0,10.0,22.1
MS,MHSUICIDE,95,133,71.4,63.2,78.4
MS,SMISEDSUD_MH,119,133,89.5,83.1,93.6
MS,PRIMARYCARE,28,133,21.1,15.0,28.7
MT,SETTINGOP,74,90,82.2,73.1,88.8
MT,SETTINGDTPH,9,90,10.0,5.4,17.9
